Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, M., Gao, H., Abdulla, A., Shan, R., Gao, S.","55295780400; 57807539600; 55188482400; 57214882849; 57221951019","Combined effects of carbon pricing and power market reform on CO2 emissions reduction in China's electricity sector",2022,"Energy",257,"", 124739,,,,,10.1016/j.energy.2022.124739,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85134308952&partnerID=40&md5=6bc31eb04228590ad183efad9996ca2c",Article,Final,"",Scopus,2-s2.0-85134308952
"Khalifa, R., Alherbawi, M., Elomri, A., Al-Ansari, T.","57787477200; 55453951100; 56915869700; 56223885400","Alternative fuels’ blending model to facilitate the implementation of carbon offsetting and reduction Scheme for International Aviation",2022,"Fuel",326,"", 124974,,,,,10.1016/j.fuel.2022.124974,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85133568856&partnerID=40&md5=5d2c58b96ad1c5afa7eebd67ec7f1324",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85133568856
"Wu, X., Li, Z., Tang, F.","57944869500; 57944869600; 12544656500","The Effect of Carbon Price Volatility on Firm Green Transitions: Evidence from Chinese Manufacturing Listed Firms",2022,"Energies",15,"20", 7456,,,,,10.3390/en15207456,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140776398&partnerID=40&md5=2a7db9240d0af2b2c3def23bf92978ea",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85140776398
"von zur Muehlen, P.","6507069095","Prices and Taxes in a Ramsey Climate Policy Model under Heterogeneous Beliefs and Ambiguity",2022,"Economies",10,"10", 257,,,,,10.3390/economies10100257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140651706&partnerID=40&md5=fd40d406b10853bc7a09a839b6942676",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85140651706
"Wang, J., Pan, K., Wang, C., Liu, W., Wei, J., Guo, K., Liu, Z.","56502541200; 57917081200; 57939274900; 57917081100; 57364212100; 57940304800; 57191688199","Integrated Carbon Emissions and Carbon Costs for Bridge Construction Projects Using Carbon Trading and Tax Systems—Taking Beijing as an Example",2022,"Applied Sciences (Switzerland)",12,"20", 10589,,,,,10.3390/app122010589,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140493284&partnerID=40&md5=356aae911720026ddf693d8528786013",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85140493284
"Zhao, J., Mattauch, L.","57936762800; 56613385200","When standards have better distributional consequences than carbon taxes",2022,"Journal of Environmental Economics and Management",116,"", 102747,,,,,10.1016/j.jeem.2022.102747,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140329785&partnerID=40&md5=3b6acb0d8de5d02fc1eee469eb4df2c0",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85140329785
"Chun, D., Cho, H., Kim, J.","57203065469; 36742244400; 57203991197","The relationship between carbon-intensive fuel and renewable energy stock prices under the emissions trading system",2022,"Energy Economics",114,"", 106257,,,,,10.1016/j.eneco.2022.106257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138445097&partnerID=40&md5=7316ed1a92bdf84a89ee4986434f67ce",Article,Final,"",Scopus,2-s2.0-85138445097
"Jacobs, L., Quack, L., Mechtel, M.","57190254628; 57203461721; 46861455400","Distributional effects of carbon pricing by transport fuel taxation",2022,"Energy Economics",114,"", 106290,,,,,10.1016/j.eneco.2022.106290,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138059532&partnerID=40&md5=181f44cc07e36ff65ca10c6fb09cf257",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85138059532
"Buck, H.J., Palumbo-Compton, A.","56442180200; 57874172200","Soil carbon sequestration as a climate strategy: what do farmers think?",2022,"Biogeochemistry",161,"1",,59,70,,1,10.1007/s10533-022-00948-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137258601&partnerID=40&md5=d51fea5b3696985a5a66087ee3274156",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85137258601
"Ishaq, H., Foxall, R., Crawford, C.","57201634320; 57870354100; 7201811021","Performance assessment of offshore wind energy integrated monoethanolamine synthesis system for post-combustion and potential direct air capture",2022,"Journal of CO2 Utilization",64,"", 102154,,,,,10.1016/j.jcou.2022.102154,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137095528&partnerID=40&md5=3386fedac8ccb584b108bdf73546a13e",Article,Final,"",Scopus,2-s2.0-85137095528
